date,sic_mean_pct
1990-03-01,64.667
1990-03-02,65.116
1990-03-03,65.904
1990-03-04,68.436
1990-03-05,70.736
1990-03-06,73.049
1990-03-07,75.225
1990-03-08,76.88
1990-03-09,77.622
1990-03-10,78.496
1990-03-11,76.86
1990-03-12,75.536
1990-03-13,74.623
1990-03-14,73.615
1990-03-15,70.493
1990-03-16,67.823
1990-03-17,67.701
1990-03-18,70.382
1990-03-19,71.06
1990-03-20,71.1
1990-03-21,71.66
1990-03-22,72.151
1990-03-23,72.274
1990-03-24,72.084
1990-03-25,70.797
1990-03-26,69.105
1990-03-27,66.752
1990-03-28,64.591
1990-03-29,63.494
1990-03-30,64.219
1990-03-31,65.084
1991-03-01,66.336
1991-03-02,66.88
1991-03-03,67.794
1991-03-04,69.213
1991-03-05,70.059
1991-03-06,71.086
1991-03-07,71.895
1991-03-08,74.641
1991-03-09,76.105
1991-03-10,76.72
1991-03-11,76.532
1991-03-12,75.893
1991-03-13,71.412
1991-03-14,69.315
1991-03-15,68.679
1991-03-16,68.392
1991-03-17,68.715
1991-03-18,69.558
1991-03-19,70.308
1991-03-20,70.768
1991-03-21,70.892
1991-03-22,69.906
1991-03-23,68.271
1991-03-24,67.151
1991-03-25,63.938
1991-03-26,63.405
1991-03-27,63.166
1991-03-28,62.816
1991-03-29,61.114
1991-03-30,59.003
1991-03-31,60.736
1992-03-01,68.864
1992-03-02,68.325
1992-03-03,66.678
1992-03-04,66.419
1992-03-05,66.777
1992-03-06,67.303
1992-03-07,66.797
1992-03-08,67.447
1992-03-09,67.273
1992-03-10,68.738
1992-03-11,69.37
1992-03-12,69.772
1992-03-13,68.768
1992-03-14,69.252
1992-03-15,71.224
1992-03-16,69.986
1992-03-17,70.238
1992-03-18,69.754
1992-03-19,68.059
1992-03-20,69.058
1992-03-21,68.484
1992-03-22,65.544
1992-03-23,67.066
1992-03-24,66.342
1992-03-25,64.95
1992-03-26,64.505
1992-03-27,64.161
1992-03-28,64.533
1992-03-29,65.033
1992-03-30,66.187
1992-03-31,66.652
1993-03-01,66.099
1993-03-02,66.481
1993-03-03,67.36
1993-03-04,67.871
1993-03-05,68.066
1993-03-06,68.941
1993-03-07,69.275
1993-03-08,71.02
1993-03-09,71.764
1993-03-10,72.488
1993-03-11,72.225
1993-03-12,73.186
1993-03-13,73.501
1993-03-14,74.412
1993-03-15,74.122
1993-03-16,73.792
1993-03-17,72.021
1993-03-18,71.545
1993-03-19,71.701
1993-03-20,72.131
1993-03-21,72.976
1993-03-22,72.801
1993-03-23,72.51
1993-03-24,71.953
1993-03-25,70.77
1993-03-26,70.807
1993-03-27,70.544
1993-03-28,70.006
1993-03-29,70.889
1993-03-30,71.704
1993-03-31,71.575
1994-03-01,80.331
1994-03-02,80.295
1994-03-03,79.564
1994-03-04,78.991
1994-03-05,79.306
1994-03-06,78.799
1994-03-07,75.045
1994-03-08,74.543
1994-03-09,74.975
1994-03-10,75.757
1994-03-11,75.995
1994-03-12,77.014
1994-03-13,77.21
1994-03-14,77.577
1994-03-15,77.242
1994-03-16,74.987
1994-03-17,73.402
1994-03-18,73.912
1994-03-19,73.3
1994-03-20,74.261
1994-03-21,74.238
1994-03-22,74.271
1994-03-23,73.873
1994-03-24,72.475
1994-03-25,70.982
1994-03-26,71.515
1994-03-27,72.681
1994-03-28,75.45
1994-03-29,76.325
1994-03-30,76.994
1994-03-31,75.928
1995-03-01,70.42
1995-03-02,69.857
1995-03-03,68.395
1995-03-04,70.79
1995-03-05,72.101
1995-03-06,74.924
1995-03-07,75.381
1995-03-08,75.332
1995-03-09,75.649
1995-03-10,76.662
1995-03-11,69.465
1995-03-12,68.681
1995-03-13,68.048
1995-03-14,68.401
1995-03-15,69.23
1995-03-16,69.115
1995-03-17,69.778
1995-03-18,72.843
1995-03-19,74.815
1995-03-20,73.274
1995-03-21,71.971
1995-03-22,71.364
1995-03-23,71.207
1995-03-24,68.395
1995-03-25,68.104
1995-03-26,68.07
1995-03-27,68.043
1995-03-28,69.065
1995-03-29,69.283
1995-03-30,69.95
1995-03-31,70.766
1996-03-01,70.477
1996-03-02,71.192
1996-03-03,72.877
1996-03-04,72.236
1996-03-05,72.287
1996-03-06,72.129
1996-03-07,70.147
1996-03-08,69.523
1996-03-09,67.544
1996-03-10,65.713
1996-03-11,64.102
1996-03-12,63.154
1996-03-13,62.447
1996-03-14,62.039
1996-03-15,63.231
1996-03-16,63.179
1996-03-17,63.239
1996-03-18,63.372
1996-03-19,63.735
1996-03-20,64.906
1996-03-21,64.743
1996-03-22,65.922
1996-03-23,66.748
1996-03-24,67.57
1996-03-25,69.432
1996-03-26,70.723
1996-03-27,71.579
1996-03-28,73.061
1996-03-29,73.219
1996-03-30,73.277
1996-03-31,73.157
1997-03-01,70.268
1997-03-02,70.489
1997-03-03,69.492
1997-03-04,65.326
1997-03-05,65.859
1997-03-06,64.774
1997-03-07,61.741
1997-03-08,61.555
1997-03-09,62.116
1997-03-10,62.154
1997-03-11,61.072
1997-03-12,60.69
1997-03-13,62.857
1997-03-14,64.91
1997-03-15,65.884
1997-03-16,67.813
1997-03-17,69.156
1997-03-18,70.43
1997-03-19,72.555
1997-03-20,75.302
1997-03-21,76.14
1997-03-22,77.838
1997-03-23,79.081
1997-03-24,79.656
1997-03-25,79.324
1997-03-26,79.494
1997-03-27,77.367
1997-03-28,74.773
1997-03-29,74.604
1997-03-30,74.783
1997-03-31,75.438
1998-03-01,82.895
1998-03-02,83.825
1998-03-03,83.682
1998-03-04,83.948
1998-03-05,85.062
1998-03-06,85.435
1998-03-07,85.985
1998-03-08,85.933
1998-03-09,85.742
1998-03-10,86.003
1998-03-11,85.542
1998-03-12,86.539
1998-03-13,85.928
1998-03-14,84.953
1998-03-15,84.314
1998-03-16,84.428
1998-03-17,81.106
1998-03-18,80.077
1998-03-19,79.891
1998-03-20,78.885
1998-03-21,78.592
1998-03-22,78.147
1998-03-23,76.225
1998-03-24,75.774
1998-03-25,74.94
1998-03-26,74.44
1998-03-27,74.966
1998-03-28,75.468
1998-03-29,74.846
1998-03-30,74.528
1998-03-31,74.948
1999-03-01,77.184
1999-03-02,76.112
1999-03-03,75.782
1999-03-04,75.509
1999-03-05,75.191
1999-03-06,75.432
1999-03-07,75.657
1999-03-08,76.645
1999-03-09,77.055
1999-03-10,77.671
1999-03-11,78.374
1999-03-12,78.386
1999-03-13,78.719
1999-03-14,79.264
1999-03-15,78.263
1999-03-16,77.526
1999-03-17,75.425
1999-03-18,73.818
1999-03-19,72.871
1999-03-20,74.004
1999-03-21,73.702
1999-03-22,73.506
1999-03-23,74.481
1999-03-24,76.965
1999-03-25,78.659
1999-03-26,79.568
1999-03-27,80.242
1999-03-28,80.443
1999-03-29,81.517
1999-03-30,81.434
1999-03-31,81.242
2000-03-01,69.302
2000-03-02,70.386
2000-03-03,70.618
2000-03-04,71.192
2000-03-05,71.189
2000-03-06,70.946
2000-03-07,71.133
2000-03-08,70.508
2000-03-09,70.16
2000-03-10,69.447
2000-03-11,68.849
2000-03-12,68.33
2000-03-13,67.443
2000-03-14,61.919
2000-03-15,61.452
2000-03-16,60.95
2000-03-17,61.151
2000-03-18,63.124
2000-03-19,61.592
2000-03-20,59.051
2000-03-21,58.005
2000-03-22,56.633
2000-03-23,56.429
2000-03-24,59.014
2000-03-25,58.672
2000-03-26,59.907
2000-03-27,58.496
2000-03-28,60.222
2000-03-29,62.095
